127.0.0.1, 2018-01-29 23:26:41, GET, /, HTTP/1.1, 303, 0.001568
127.0.0.1, 2018-01-29 23:26:42, GET, /welcome/default/index, HTTP/1.1, 200, 1.113211
127.0.0.1, 2018-01-29 23:27:03, GET, /admin/default/index, HTTP/1.1, 200, 0.595538
127.0.0.1, 2018-01-29 23:27:12, POST, /admin/default/index, HTTP/1.1, 200, 1.042322
127.0.0.1, 2018-01-29 23:27:18, POST, /admin/default/index, HTTP/1.1, 200, 2.042227
127.0.0.1, 2018-01-29 23:27:43, POST, /admin/default/index, HTTP/1.1, 303, 0.478433
127.0.0.1, 2018-01-29 23:27:43, GET, /admin/default/site, HTTP/1.1, 200, 0.154285
127.0.0.1, 2018-01-29 23:27:43, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 304, 0.001395
127.0.0.1, 2018-01-29 23:27:43, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 304, 0.001245
127.0.0.1, 2018-01-29 23:27:43, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 304, 0.000952
127.0.0.1, 2018-01-29 23:27:43, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 304, 0.002842
127.0.0.1, 2018-01-29 23:27:43, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001613
127.0.0.1, 2018-01-29 23:27:43, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.006997
127.0.0.1, 2018-01-29 23:27:43, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 304, 0.002670
127.0.0.1, 2018-01-29 23:27:43, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.002428
127.0.0.1, 2018-01-29 23:27:43, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.004049
127.0.0.1, 2018-01-29 23:27:43, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 304, 0.007474
127.0.0.1, 2018-01-29 23:27:43, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.001112
127.0.0.1, 2018-01-29 23:27:43, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001173
127.0.0.1, 2018-01-29 23:27:43, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 304, 0.000792
127.0.0.1, 2018-01-29 23:27:44, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 304, 0.000967
127.0.0.1, 2018-01-29 23:27:44, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 304, 0.067494
127.0.0.1, 2018-01-29 23:27:44, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 304, 0.001084
127.0.0.1, 2018-01-29 23:27:44, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.001822
127.0.0.1, 2018-01-29 23:27:45, POST, /admin/default/check_version, HTTP/1.1, 200, 1.178530
127.0.0.1, 2018-01-29 23:27:56, POST, /admin/default/site, HTTP/1.1, 303, 0.109517
127.0.0.1, 2018-01-29 23:27:56, GET, /admin/default/design/project1, HTTP/1.1, 200, 0.381659
127.0.0.1, 2018-01-29 23:33:27, GET, /admin/default/site, HTTP/1.1, 200, 0.068002
127.0.0.1, 2018-01-29 23:34:51, GET, /admin/default/site, HTTP/1.1, 200, 0.069212
127.0.0.1, 2018-01-29 23:34:51, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 304, 0.002384
127.0.0.1, 2018-01-29 23:34:51, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 304, 0.002274
127.0.0.1, 2018-01-29 23:34:51, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 304, 0.001009
127.0.0.1, 2018-01-29 23:34:51, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 304, 0.002243
